# package	version	role
bash	5.2.37-2+b9	base
bc	1.07.1-4	kernel-build
binutils	2.44-3	kernel-build
binutils-x86-64-linux-gnu	2.44-3	kernel-build
bison	2:3.8.2+dfsg-1+b2	kernel-build
build-essential	12.12	kernel-build
ca-certificates	20250419	fetch
clang	1:19.0-63	control-plane-build
clang-19	1:19.1.7-3+b1	control-plane-build
cmake	3.31.6-2	build
coreutils	9.7-3	base
cpio	2.15+dfsg-2	initramfs
curl	8.14.1-2+deb13u4	fetch
diffutils	1:3.10-4	base
dwarves	1.30-1	kernel-build
fd-find	10.2.0-1+b5	agent
file	1:5.46-5	inspection
findutils	4.10.0-3	base
flex	2.6.4-8.2+b4	kernel-build
g++	4:14.2.0-1	kernel-build
g++-14-x86-64-linux-gnu	14.2.0-19	kernel-build
gcc	4:14.2.0-1	kernel-build
gcc-14-x86-64-linux-gnu	14.2.0-19	kernel-build
git	1:2.47.3-0+deb13u1	source
grep	3.11-4	base
gzip	1.13-1	archive
jq	1.7.1-6+deb13u2	agent
less	668-1	agent
libelf-dev	0.192-4	kernel-build
libpython3.13-stdlib	3.13.5-2+deb13u3	tooling
libssl-dev	3.5.6-1~deb13u2	kernel-build
lld	1:19.0-63	control-plane-build
lld-19	1:19.1.7-3+b1	control-plane-build
llvm	1:19.0-63	control-plane-build
llvm-19	1:19.1.7-3+b1	control-plane-build
make	4.4.1-2	kernel-build
ninja-build	1.12.1-1	build
pahole	1.30-1	kernel-build
patch	2.8-2	source
perl	5.40.1-6	kernel-build
python3	3.13.5-1	tooling
python3.13	3.13.5-2+deb13u3	tooling
python3.13-minimal	3.13.5-2+deb13u3	tooling
qemu-system-x86	1:10.0.11+ds-0+deb13u1	generic-boot-test
ripgrep	14.1.1-1+b4	agent
rsync	3.4.1+ds1-5+deb13u4	files
tar	1.35+dfsg-3.1	archive
tree	2.2.1-1	agent
unzip	6.0-29	archive
util-linux	2.41-5	base
wget	1.25.0-2	fetch
xz-utils	5.8.1-1+deb13u1	archive
zip	3.0-15	agent
zstd	1.5.7+dfsg-1	archive
