symbol,review_status,requirement_status,documentation_status,layer,feature_group,checked,rationale,source_url,notes
CONFIG_104_QUAD_8,TODO,UNRESOLVED,,,,0,,,
CONFIG_21285_WATCHDOG,TODO,UNRESOLVED,,,,0,,,
CONFIG_3C515,TODO,UNRESOLVED,,,,0,,,
CONFIG_53C700_BE_BUS,TODO,UNRESOLVED,,,,0,,,
CONFIG_53C700_LE_ON_BE,TODO,UNRESOLVED,,,,0,,,
CONFIG_60XX_WDT,TODO,UNRESOLVED,,,,0,,,
CONFIG_64BIT,TODO,UNRESOLVED,,,,0,,,
CONFIG_6LOWPAN,TODO,UNRESOLVED,,,,0,,,
CONFIG_6LOWPAN_DEBUGFS,TODO,UNRESOLVED,,,,0,,,
CONFIG_6LOWPAN_GHC_EXT_HDR_DEST,TODO,UNRESOLVED,,,,0,,,
CONFIG_6LOWPAN_GHC_EXT_HDR_FRAG,TODO,UNRESOLVED,,,,0,,,
CONFIG_6LOWPAN_GHC_EXT_HDR_HOP,TODO,UNRESOLVED,,,,0,,,
CONFIG_6LOWPAN_GHC_EXT_HDR_ROUTE,TODO,UNRESOLVED,,,,0,,,
CONFIG_6LOWPAN_GHC_ICMPV6,TODO,UNRESOLVED,,,,0,,,
CONFIG_6LOWPAN_GHC_UDP,TODO,UNRESOLVED,,,,0,,,
CONFIG_6LOWPAN_NHC,TODO,UNRESOLVED,,,,0,,,
CONFIG_6LOWPAN_NHC_DEST,TODO,UNRESOLVED,,,,0,,,
CONFIG_6LOWPAN_NHC_FRAGMENT,TODO,UNRESOLVED,,,,0,,,
CONFIG_6LOWPAN_NHC_HOP,TODO,UNRESOLVED,,,,0,,,
CONFIG_6LOWPAN_NHC_IPV6,TODO,UNRESOLVED,,,,0,,,
CONFIG_6LOWPAN_NHC_MOBILITY,TODO,UNRESOLVED,,,,0,,,
CONFIG_6LOWPAN_NHC_ROUTING,TODO,UNRESOLVED,,,,0,,,
CONFIG_6LOWPAN_NHC_UDP,TODO,UNRESOLVED,,,,0,,,
CONFIG_6PACK,TODO,UNRESOLVED,,,,0,,,
CONFIG_8139CP,TODO,UNRESOLVED,,,,0,,,
CONFIG_8139TOO,TODO,UNRESOLVED,,,,0,,,
CONFIG_8139TOO_8129,TODO,UNRESOLVED,,,,0,,,
CONFIG_8139TOO_PIO,TODO,UNRESOLVED,,,,0,,,
CONFIG_8139TOO_TUNE_TWISTER,TODO,UNRESOLVED,,,,0,,,
CONFIG_8139_OLD_RX_RESET,TODO,UNRESOLVED,,,,0,,,
CONFIG_842_COMPRESS,TODO,UNRESOLVED,,,,0,,,
CONFIG_842_DECOMPRESS,TODO,UNRESOLVED,,,,0,,,
CONFIG_88PM886_GPADC,TODO,UNRESOLVED,,,,0,,,
CONFIG_8xxx_WDT,TODO,UNRESOLVED,,,,0,,,
CONFIG_977_WATCHDOG,TODO,UNRESOLVED,,,,0,,,
CONFIG_9P_FS,TODO,UNRESOLVED,,,,0,,,
CONFIG_9P_FSCACHE,TODO,UNRESOLVED,,,,0,,,
CONFIG_9P_FS_POSIX_ACL,TODO,UNRESOLVED,,,,0,,,
CONFIG_9P_FS_SECURITY,TODO,UNRESOLVED,,,,0,,,
CONFIG_A11Y_BRAILLE_CONSOLE,TODO,UNRESOLVED,,,,0,,,
CONFIG_A2065,TODO,UNRESOLVED,,,,0,,,
CONFIG_A2091_SCSI,TODO,UNRESOLVED,,,,0,,,
CONFIG_A3000_SCSI,TODO,UNRESOLVED,,,,0,,,
CONFIG_A64FX_DIAG,TODO,UNRESOLVED,,,,0,,,
CONFIG_AB8500_BM,TODO,UNRESOLVED,,,,0,,,
CONFIG_AB8500_CORE,TODO,UNRESOLVED,,,,0,,,
CONFIG_AB8500_GPADC,TODO,UNRESOLVED,,,,0,,,
CONFIG_AB8500_USB,TODO,UNRESOLVED,,,,0,,,
CONFIG_ABP060MG,TODO,UNRESOLVED,,,,0,,,
CONFIG_ABX500_CORE,TODO,UNRESOLVED,,,,0,,,
CONFIG_AC97_BUS,TODO,UNRESOLVED,,,,0,,,
CONFIG_AC97_BUS_COMPAT,TODO,UNRESOLVED,,,,0,,,
CONFIG_AC97_BUS_NEW,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACCESSIBILITY,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACENIC,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACENIC_OMIT_TIGON_I,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACERHDF,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACER_WIRELESS,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACER_WMI,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACLINT_SSWI,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACORN_PARTITION,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACORN_PARTITION_ADFS,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACORN_PARTITION_CUMANA,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACORN_PARTITION_EESOX,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACORN_PARTITION_ICS,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACORN_PARTITION_POWERTEC,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACORN_PARTITION_RISCIX,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI,REVIEWED,UNRESOLVED,DOCUMENTED_PLATFORM,HYPERV,hyperv-platform-enumeration,1,K-HVCORE-DIAG-001 proved Hyper-V CPU entry but no VMBus probe. On x86 vmbus_platform_driver uses an ACPI match table and returned no root device when ACPI was absent; candidate logged no VMBus enumeration.,https://github.com/microsoft/WSL2-Linux-Kernel/blob/14794180686c2fb6307fbe359c359bec765249f3/drivers/hv/vmbus_drv.c,
CONFIG_ACPI_AC,REVIEWED,DEFERRED,DOCUMENTED_SCENARIO,OPTIONAL,held-parent-default,1,Held at K-HVCORE-001 value n to prevent unrelated defaults from widening K-HOSTCHAN-001.,https://github.com/microsoft/WSL2-Linux-Kernel/tree/14794180686c2fb6307fbe359c359bec765249f3,
CONFIG_ACPI_ADXL,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_AGDI,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_ALS,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_APEI,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_APEI_EINJ,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_APEI_EINJ_CXL,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_APEI_ERST_DEBUG,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_APEI_GHES,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_APEI_MEMORY_FAILURE,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_APEI_PCIEAER,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_APEI_SEA,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_APMT,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_BATTERY,REVIEWED,DEFERRED,DOCUMENTED_SCENARIO,OPTIONAL,held-parent-default,1,Held at K-HVCORE-001 value n to prevent unrelated defaults from widening K-HOSTCHAN-001.,https://github.com/microsoft/WSL2-Linux-Kernel/tree/14794180686c2fb6307fbe359c359bec765249f3,
CONFIG_ACPI_BGRT,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_BUTTON,REVIEWED,DEFERRED,DOCUMENTED_SCENARIO,OPTIONAL,held-parent-default,1,Held at K-HVCORE-001 value n to prevent unrelated defaults from widening K-HOSTCHAN-001.,https://github.com/microsoft/WSL2-Linux-Kernel/tree/14794180686c2fb6307fbe359c359bec765249f3,
CONFIG_ACPI_CCA_REQUIRED,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_CMPC,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_CONFIGFS,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_CONTAINER,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_CPPC_CPUFREQ,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_CPPC_CPUFREQ_FIE,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_CPPC_LIB,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_CPU_FREQ_PSS,REVIEWED,DEFERRED,DOCUMENTED_SCENARIO,OPTIONAL,held-parent-default,1,Held at K-HVCORE-001 value n to prevent unrelated defaults from widening K-HOSTCHAN-001.,https://github.com/microsoft/WSL2-Linux-Kernel/tree/14794180686c2fb6307fbe359c359bec765249f3,
CONFIG_ACPI_CUSTOM_DSDT,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_CUSTOM_DSDT_FILE,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_DEBUG,REVIEWED,DEFERRED,DOCUMENTED_SCENARIO,OPTIONAL,held-parent-default,1,Held at K-HVCORE-001 value n to prevent unrelated defaults from widening K-HOSTCHAN-001.,https://github.com/microsoft/WSL2-Linux-Kernel/tree/14794180686c2fb6307fbe359c359bec765249f3,
CONFIG_ACPI_DEBUGGER,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_DEBUGGER_USER,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_DOCK,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_DPTF,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_EC,REVIEWED,DEFERRED,DOCUMENTED_SCENARIO,OPTIONAL,held-parent-default,1,Held at K-HVCORE-001 value n to prevent unrelated defaults from widening K-HOSTCHAN-001.,https://github.com/microsoft/WSL2-Linux-Kernel/tree/14794180686c2fb6307fbe359c359bec765249f3,
CONFIG_ACPI_EC_DEBUGFS,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_EXTLOG,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_FAN,REVIEWED,DEFERRED,DOCUMENTED_SCENARIO,OPTIONAL,held-parent-default,1,Held at K-HVCORE-001 value n to prevent unrelated defaults from widening K-HOSTCHAN-001.,https://github.com/microsoft/WSL2-Linux-Kernel/tree/14794180686c2fb6307fbe359c359bec765249f3,
CONFIG_ACPI_FFH,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_FPDT,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_GENERIC_GSI,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_GTDT,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_HED,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_HMAT,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_HOTPLUG_CPU,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_HOTPLUG_IOAPIC,REVIEWED,TRANSITIVE,DOCUMENTED_PLATFORM,HYPERV,hyperv-platform-enumeration,1,Kconfig-enabled ACPI/platform closure in K-HOSTCHAN-001; not independently requested or claimed required.,https://github.com/microsoft/WSL2-Linux-Kernel/blob/14794180686c2fb6307fbe359c359bec765249f3/drivers/acpi/Kconfig,
CONFIG_ACPI_HOTPLUG_MEMORY,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_I2C_OPREGION,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_IORT,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_IPMI,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_LEGACY_TABLES_LOOKUP,REVIEWED,TRANSITIVE,DOCUMENTED_PLATFORM,HYPERV,hyperv-platform-enumeration,1,Kconfig-enabled ACPI/platform closure in K-HOSTCHAN-001; not independently requested or claimed required.,https://github.com/microsoft/WSL2-Linux-Kernel/blob/14794180686c2fb6307fbe359c359bec765249f3/drivers/acpi/Kconfig,
CONFIG_ACPI_LPIT,REVIEWED,TRANSITIVE,DOCUMENTED_PLATFORM,HYPERV,hyperv-platform-enumeration,1,Kconfig-enabled ACPI/platform closure in K-HOSTCHAN-001; not independently requested or claimed required.,https://github.com/microsoft/WSL2-Linux-Kernel/blob/14794180686c2fb6307fbe359c359bec765249f3/drivers/acpi/Kconfig,
CONFIG_ACPI_MADT_WAKEUP,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_MCFG,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_MDIO,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_MRRM,REVIEWED,TRANSITIVE,DOCUMENTED_PLATFORM,HYPERV,hyperv-platform-enumeration,1,Kconfig-enabled ACPI/platform closure in K-HOSTCHAN-001; not independently requested or claimed required.,https://github.com/microsoft/WSL2-Linux-Kernel/blob/14794180686c2fb6307fbe359c359bec765249f3/drivers/acpi/Kconfig,
CONFIG_ACPI_NFIT,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_NHLT,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_NUMA,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_PCC,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_PCI_SLOT,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_PFRUT,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_PLATFORM_PROFILE,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_PPTT,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_PRMT,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_PROCESSOR,REVIEWED,DEFERRED,DOCUMENTED_SCENARIO,OPTIONAL,held-parent-default,1,Held at K-HVCORE-001 value n to prevent unrelated defaults from widening K-HOSTCHAN-001.,https://github.com/microsoft/WSL2-Linux-Kernel/tree/14794180686c2fb6307fbe359c359bec765249f3,
CONFIG_ACPI_PROCESSOR_AGGREGATOR,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_PROCESSOR_CSTATE,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_PROCESSOR_IDLE,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_QUICKSTART,TODO,UNRESOLVED,,,,0,,,
CONFIG_ACPI_REDUCED_HARDWARE_ONLY,TODO,UNRESOLVED,,,,0,,,
