trial_id,status,started_utc,finished_utc,source_commit,toolchain,kernel_config_path,kernel_config_sha256,parent_trial,change_group,explicit_symbols,autoselected_symbols,kernel_image_path,kernel_image_sha256,boot_level,toybox_result,alpine_result,failure_signature,windows_error,kernel_log_path,crash_log_path,classification,stock_restore_verified,notes
G-001,PASS,2026-08-17T21:12:03Z,2026-08-17T21:22:03Z,14794180686c2fb6307fbe359c359bec765249f3,"x86_64-linux-musl-gcc 15.1.0; GNU ld 2.44",mkroot-baseline/linux-fullconfig,00660bed57342938ca2e039105df0754ba0e6cd44cef22b243c4165f0c9c07b5,,untouched-mkroot-baseline,mkroot-baseline/linux-miniconfig,Kconfig-expanded,mkroot-baseline/linux-kernel,b5ff0510c40906fc61e8c9432a872a34cef7d5a9081455e4957b19b18f9f44eb,G4,PASS,NOT_TESTED,,,mkroot-baseline/qemu-g4.log,,BASELINE,NOT_APPLICABLE,"QEMU boot; marker MKROOT_G4_PASS_V2; WSL configuration untouched"
"K-RECOVERY-001","PASS","2026-08-18T03:27:59.0578015Z","2026-08-18T03:28:08.1717805Z","","","","","","external-stock-kernel-recovery-validation","","","C:\Users\jackc\Downloads\ultra-minimal-wsl\candidates\wsl-2.7.11-stock-kernel","d540850bfbf1beba3ded6b2965b9d0249b23fbcb3e90e7dc0845ac7ad86bc861","","","","","","","","RECOVERY_VALIDATION","yes","Ledger finalization recovered from completed PASS result; packaged kernel and original .wslconfig reverified; stock distro boot passed again"
"K-MKROOT-001","FAIL","2026-08-18T13:56:35.8899175Z","2026-08-18T13:57:47.0735038Z","14794180686c2fb6307fbe359c359bec765249f3","x86_64-linux-musl-gcc 15.1.0; GNU ld 2.44",".\mkroot-baseline\linux-fullconfig","00660bed57342938ca2e039105df0754ba0e6cd44cef22b243c4165f0c9c07b5","","external-custom-kernel","","","C:\Users\jackc\Downloads\ultra-minimal-wsl\mkroot-baseline\linux-kernel","b5ff0510c40906fc61e8c9432a872a34cef7d5a9081455e4957b19b18f9f44eb","","FAIL","NOT_TESTED","Test distro exceeded the 45-second timeout.","Test distro exceeded the 45-second timeout.","C:\Users\jackc\Downloads\ultra-minimal-wsl\recovery-harness\trials\K-MKROOT-001\kernel-dmesg.stdout.log","C:\Users\jackc\Downloads\ultra-minimal-wsl\recovery-harness\trials\K-MKROOT-001\wsl-crashes","UNRESOLVED","yes","Mode=KernelTrial; recovery distro=Debian; logs=C:\Users\jackc\Downloads\ultra-minimal-wsl\recovery-harness\trials\K-MKROOT-001"
"K-HVCORE-001","FAIL","2026-08-18T15:25:14.9052067Z","2026-08-18T15:26:27.5564019Z","14794180686c2fb6307fbe359c359bec765249f3","x86_64-linux-musl-gcc 15.1.0; GNU ld 2.44",".\candidates\K-HVCORE-001\linux-fullconfig","7def23e912c4b4734eaf76b2a70d0a21e51a2a37b75247f3e94bb3310d50ed1d","","external-custom-kernel","","","C:\Users\jackc\Downloads\ultra-minimal-wsl\candidates\K-HVCORE-001\linux-kernel","19473ce41f28bcb0c3872c5b111270a323f2675af1674454839a6094843ddffd","","FAIL","NOT_TESTED","Test distro exceeded the 45-second timeout.","Test distro exceeded the 45-second timeout.","C:\Users\jackc\Downloads\ultra-minimal-wsl\recovery-harness\trials\K-HVCORE-001\kernel-dmesg.stdout.log","C:\Users\jackc\Downloads\ultra-minimal-wsl\recovery-harness\trials\K-HVCORE-001\wsl-crashes","UNRESOLVED","yes","Mode=KernelTrial; recovery distro=Debian; logs=C:\Users\jackc\Downloads\ultra-minimal-wsl\recovery-harness\trials\K-HVCORE-001"
"K-HVCORE-DIAG-001","FAIL","2026-08-19T05:19:16.3128231Z","2026-08-19T05:20:28.4203249Z","14794180686c2fb6307fbe359c359bec765249f3","x86_64-linux-musl-gcc 15.1.0; GNU ld 2.44",".\candidates\K-HVCORE-001\linux-fullconfig","7def23e912c4b4734eaf76b2a70d0a21e51a2a37b75247f3e94bb3310d50ed1d","","external-custom-kernel","","","C:\Users\jackc\Downloads\ultra-minimal-wsl\candidates\K-HVCORE-001\linux-kernel","19473ce41f28bcb0c3872c5b111270a323f2675af1674454839a6094843ddffd","","FAIL","NOT_TESTED","Test distro exceeded the 45-second timeout.","Test distro exceeded the 45-second timeout.","C:\Users\jackc\Downloads\ultra-minimal-wsl\recovery-harness\trials\K-HVCORE-DIAG-001\kernel-dmesg.stdout.log","C:\Users\jackc\Downloads\ultra-minimal-wsl\recovery-harness\trials\K-HVCORE-DIAG-001\wsl-crashes","UNRESOLVED","yes","Mode=KernelTrial; debugConsole=True; recovery distro=Debian; logs=C:\Users\jackc\Downloads\ultra-minimal-wsl\recovery-harness\trials\K-HVCORE-DIAG-001"
"K-RECOVERY-002","PASS","2026-08-19T06:56:55.9073911Z","2026-08-19T06:57:04.8125174Z","","","","","","external-stock-kernel-recovery-validation","","","C:\Users\jackc\git\ultra-minimal-wsl\candidates\wsl-2.7.11-stock-kernel","d540850bfbf1beba3ded6b2965b9d0249b23fbcb3e90e7dc0845ac7ad86bc861","B6-T","PASS","NOT_TESTED","","","C:\Users\jackc\git\ultra-minimal-wsl\recovery-harness\trials\K-RECOVERY-002\kernel-dmesg.stdout.log","C:\Users\jackc\git\ultra-minimal-wsl\recovery-harness\trials\K-RECOVERY-002\wsl-crashes","RECOVERY_VALIDATION","yes","Mode=StockValidation; debugConsole=False; recovery distro=Debian; logs=C:\Users\jackc\git\ultra-minimal-wsl\recovery-harness\trials\K-RECOVERY-002"
"K-HOSTCHAN-001","FAIL","2026-08-19T06:58:57.5655664Z","2026-08-19T06:59:35.3864753Z","14794180686c2fb6307fbe359c359bec765249f3","x86_64-linux-musl-gcc 15.1.0; GNU ld 2.44","C:\Users\jackc\git\ultra-minimal-wsl\candidates\K-HOSTCHAN-001\linux-fullconfig","8a6d7bd1731e6af350a6138a92dc157e5d7c0b36602cf87a697520fd125bbc6e","","external-custom-kernel","","","C:\Users\jackc\git\ultra-minimal-wsl\candidates\K-HOSTCHAN-001\linux-kernel","7dbf16c3bb9129f3634f3700ed2dfc59974df4de9a7ad0b9aec6a05b7cc8703b","","FAIL","NOT_TESTED","Test distro exited with code -1.","Test distro exited with code -1.","C:\Users\jackc\git\ultra-minimal-wsl\recovery-harness\trials\K-HOSTCHAN-001\kernel-dmesg.stdout.log","C:\Users\jackc\git\ultra-minimal-wsl\recovery-harness\trials\K-HOSTCHAN-001\wsl-crashes","UNRESOLVED","yes","Mode=KernelTrial; debugConsole=True; recovery distro=Debian; logs=C:\Users\jackc\git\ultra-minimal-wsl\recovery-harness\trials\K-HOSTCHAN-001"
"K-STORAGE-001","FAIL","2026-08-19T12:35:28.8538097Z","2026-08-19T12:35:51.0071154Z","14794180686c2fb6307fbe359c359bec765249f3","x86_64-linux-musl-gcc 15.1.0; GNU binutils 2.44","C:\Users\jackc\git\ultra-minimal-wsl\candidates\K-STORAGE-001\linux-fullconfig","b8d9068b9dc901ad66a4e5ff03fdfd78b02a09261ffebfdc006699b91a437bd8","","external-custom-kernel","","","C:\Users\jackc\git\ultra-minimal-wsl\candidates\K-STORAGE-001\linux-kernel","3d3a4f9cee018590d986912b4379119cf22bb8b6e4aee3c29ad43f5450efa367","","FAIL","NOT_TESTED","Test distro exited with code -1.","Test distro exited with code -1.","C:\Users\jackc\git\ultra-minimal-wsl\recovery-harness\trials\K-STORAGE-001\kernel-dmesg.stdout.log","C:\Users\jackc\git\ultra-minimal-wsl\recovery-harness\trials\K-STORAGE-001\wsl-crashes","UNRESOLVED","yes","Mode=KernelTrial; debugConsole=True; recovery distro=Debian; logs=C:\Users\jackc\git\ultra-minimal-wsl\recovery-harness\trials\K-STORAGE-001"
"K-OVERLAY-001","FAIL","2026-08-19T17:07:20.0648023Z","2026-08-19T17:07:41.7234632Z","14794180686c2fb6307fbe359c359bec765249f3","x86_64-linux-musl-gcc (GCC) 15.1.0; GNU ld (GNU Binutils) 2.44",".\candidates\K-OVERLAY-001\linux-fullconfig","ab0c68a2e96b36a397226f71e45d59a99c59f10ac1019c62bfde4e321a45e3f7","","external-custom-kernel","","","C:\Users\jackc\git\ultra-minimal-wsl\candidates\K-OVERLAY-001\linux-kernel","3f5d6708e4a9eaaa230054a1962c584ac3e0a47f28485c1ab87a12c8e51dff3b","","FAIL","NOT_TESTED","Test distro exited with code -1.","Test distro exited with code -1.","C:\Users\jackc\git\ultra-minimal-wsl\recovery-harness\trials\K-OVERLAY-001\kernel-dmesg.stdout.log","C:\Users\jackc\git\ultra-minimal-wsl\recovery-harness\trials\K-OVERLAY-001\wsl-crashes","UNRESOLVED","yes","Mode=KernelTrial; debugConsole=False; recovery distro=Debian; logs=C:\Users\jackc\git\ultra-minimal-wsl\recovery-harness\trials\K-OVERLAY-001"
"K-OVERLAY-DIAG-001","FAIL","2026-08-19T17:17:45.5174038Z","2026-08-19T17:18:08.1381536Z","14794180686c2fb6307fbe359c359bec765249f3","x86_64-linux-musl-gcc (GCC) 15.1.0; GNU ld (GNU Binutils) 2.44","C:\Users\jackc\git\ultra-minimal-wsl\candidates\K-OVERLAY-001\linux-fullconfig","ab0c68a2e96b36a397226f71e45d59a99c59f10ac1019c62bfde4e321a45e3f7","","external-custom-kernel","","","C:\Users\jackc\git\ultra-minimal-wsl\candidates\K-OVERLAY-001\linux-kernel","3f5d6708e4a9eaaa230054a1962c584ac3e0a47f28485c1ab87a12c8e51dff3b","","FAIL","NOT_TESTED","Test distro exited with code -1.","Test distro exited with code -1.","C:\Users\jackc\git\ultra-minimal-wsl\recovery-harness\trials\K-OVERLAY-DIAG-001\kernel-dmesg.stdout.log","C:\Users\jackc\git\ultra-minimal-wsl\recovery-harness\trials\K-OVERLAY-DIAG-001\wsl-crashes","UNRESOLVED","yes","Mode=KernelTrial; debugConsole=True; recovery distro=Debian; logs=C:\Users\jackc\git\ultra-minimal-wsl\recovery-harness\trials\K-OVERLAY-DIAG-001"
