2026-08-19T07:59:32.561285800+00:59 [    0.378545] brd: module loaded
2026-08-19T07:59:32.565232700+00:59 [    0.382495] loop: module loaded
2026-08-19T07:59:32.565726600+00:59 [    0.383000] Loading iSCSI transport class v2.0-870.
2026-08-19T07:59:32.566447400+00:59 [    0.383787] rdac: device handler registered
2026-08-19T07:59:32.566991700+00:59 [    0.384387] Microchip SmartPQI Driver (v2.1.34-035)
2026-08-19T07:59:32.567439200+00:59 [    0.384820] VMware PVSCSI driver - version 1.0.7.0-k
2026-08-19T07:59:32.567767500+00:59 [    0.385171] hv_vmbus: registering driver hv_storvsc
2026-08-19T07:59:32.570140500+00:59 [    0.387366] scsi host0: storvsc_host_t
2026-08-19T07:59:32.570505500+00:59 [    0.387464] PPP generic driver version 2.4.2
2026-08-19T07:59:32.571298900+00:59 [    0.388415] VMware vmxnet3 virtual NIC driver - version 1.9.0.0-k-NAPI
2026-08-19T07:59:32.571704900+00:59 [    0.389117] hv_vmbus: registering driver hv_netvsc
2026-08-19T07:59:32.572027400+00:59 [    0.389442] Fusion MPT base driver 3.04.20
2026-08-19T07:59:32.572290700+00:59 [    0.389727] Copyright (c) 1999-2008 LSI Corporation
2026-08-19T07:59:32.572517900+00:59 [    0.389998] Fusion MPT SPI Host driver 3.04.20
2026-08-19T07:59:32.572761800+00:59 [    0.390240] Fusion MPT SAS Host driver 3.04.20
2026-08-19T07:59:32.573013400+00:59 [    0.390496] Fusion MPT misc device (ioctl) driver 3.04.20
2026-08-19T07:59:32.573393500+00:59 [    0.390888] mptctl: Registered with Fusion MPT base driver
2026-08-19T07:59:32.573710500+00:59 [    0.391099] mptctl: /dev/mptctl @ (major,minor=10,220)
2026-08-19T07:59:32.573996300+00:59 [    0.391474] i8042: PNP: No PS/2 controller found.
2026-08-19T07:59:32.574301000+00:59 [    0.391708] hv_vmbus: registering driver hyperv_keyboard
2026-08-19T07:59:32.574679700+00:59 [    0.392079] rtc_cmos 00:00: RTC can wake from S4
2026-08-19T07:59:32.577947000+00:59 [    0.395217] rtc_cmos 00:00: registered as rtc0
2026-08-19T07:59:32.578720600+00:59 [    0.396060] rtc_cmos 00:00: setting system clock to 2026-08-19T06:59:31 UTC (1787122771)
2026-08-19T07:59:32.579280200+00:59 [    0.396683] rtc_cmos 00:00: alarms up to one month, 114 bytes nvram
2026-08-19T07:59:32.579860200+00:59 [    0.397010] device-mapper: core: CONFIG_IMA_DISABLE_HTABLE is disabled. Duplicate IMA measurements will not be recorded in the IMA log.
